table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Cumulative Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2020, Ranked by Percent Change: April 1, 2020 to July 1, 2022",,,,,
Rank,Geographic Area,Population Estimate,,"Change, 2020 to 2022",
330,"Laredo city, Texas","255,212","256,187",975,0.4
331,"Lynchburg city, Virginia","79,007","79,287",280,0.4
332,"Wichita Falls city, Texas","102,316","102,664",348,0.3
333,"New Britain city, Connecticut","74,159","74,396",237,0.3
334,"Stockton city, California","320,810","321,819","1,009",0.3
335,"Carrollton city, Texas","133,432","133,820",388,0.3
336,"Davis city, California","66,858","67,048",190,0.3
337,"Wyoming city, Michigan","76,510","76,726",216,0.3
338,"Delray Beach city, Florida","66,847","67,030",183,0.3
339,"Placentia city, California","51,814","51,951",137,0.3
340,"Kansas City city, Missouri","507,971","509,297","1,326",0.3
341,"Dothan city, Alabama","71,050","71,235",185,0.3
342,"Naperville city, Illinois","149,559","149,936",377,0.3
343,"Overland Park city, Kansas","197,249","197,726",477,0.2
344,"Columbus city, Ohio","905,839","907,971","2,132",0.2
345,"Norwalk city, Connecticut","91,187","91,401",214,0.2
346,"Lorain city, Ohio","65,214","65,365",151,0.2
347,"Warwick city, Rhode Island","82,825","83,016",191,0.2
348,"Jackson city, Tennessee","68,224","68,380",156,0.2
349,"Pompano Beach city, Florida","112,056","112,302",246,0.2
350,"Chapel Hill town, North Carolina","61,965","62,098",133,0.2
351,"Bloomington city, Illinois","78,699","78,864",165,0.2
352,"Novi city, Michigan","66,237","66,372",135,0.2
353,"Fort Lauderdale city, Florida","182,775","183,146",371,0.2
354,"Fayetteville city, North Carolina","208,470","208,873",403,0.2
355,"Harrisburg city, Pennsylvania","50,088","50,183",95,0.2
356,"Normal town, Illinois","52,746","52,838",92,0.2
357,"Savannah city, Georgia","147,768","148,004",236,0.2
358,"Little Rock city, Arkansas","202,562","202,864",302,0.1
359,"Jupiter town, Florida","61,036","61,126",90,0.1
360,"Roswell city, Georgia","92,835","92,950",115,0.1
361,"Quincy city, Massachusetts","101,606","101,727",121,0.1
362,"Kokomo city, Indiana","59,603","59,671",68,0.1
363,"Bolingbrook village, Illinois","73,948","74,031",83,0.1
364,"Apple Valley town, California","75,789","75,867",78,0.1
365,"Lakewood city, Colorado","155,975","156,120",145,0.1
366,"Arlington city, Texas","394,257","394,602",345,0.1
367,"Atlanta city, Georgia","498,722","499,127",405,0.1
368,"Cambridge city, Massachusetts","118,395","118,488",93,0.1
369,"Cedar Park city, Texas","77,586","77,642",56,0.1
370,"Houston city, Texas","2,301,572","2,302,878","1,306",0.1
371,"Colton city, California","53,892","53,918",26,-
372,"Yakima city, Washington","96,971","97,012",41,-
373,"North Little Rock city, Arkansas","64,600","64,627",27,-
374,"Portland city, Maine","68,409","68,424",15,-
375,"Tamarac city, Florida","71,903","71,912",9,-
376,"Johns Creek city, Georgia","82,444","82,453",9,-
377,"Augusta-Richmond County consolidated government (balance), Georgia","202,080","202,096",16,-
378,"Lafayette city, Louisiana","121,398","121,389",-9,-
379,"San Marcos city, California","94,862","94,854",-8,-
380,"Cincinnati city, Ohio","309,561","309,513",-48,-
381,"Kirkland city, Washington","92,166","92,151",-15,-
382,"Pittsburgh city, Pennsylvania","302,958","302,898",-60,-
383,"Antioch city, California","115,305","115,264",-41,-
384,"Decatur city, Alabama","57,946","57,922",-24,-
385,"Bloomington city, Indiana","79,148","79,107",-41,-0.1
386,"Weymouth Town city, Massachusetts","57,443","57,410",-33,-0.1
387,"Largo city, Florida","82,544","82,487",-57,-0.1
388,"Deerfield Beach city, Florida","86,855","86,772",-83,-0.1
389,"Lansing city, Michigan","112,657","112,537",-120,-0.1
